sep=,
Plate name,Plate ID,Plate type,Well,Sample ID,Sample/NTC/Control,Type,Reaction Mix,Target (Name),Target (IC),Target (Control),Conc. [cp/µL] (dPCR reaction),Conc. [-] (dPCR reaction),CI (95%) (dPCR reaction),Conc. [cp/µL] (undiluted sample),Conc. [-] (undiluted sample),Partitions (Valid),Partitions (Positive),Partitions (Negative),Threshold,Volume per well [µl],Concentration factor,Template volume [µl],Total volume [µl],Conversion factor,Conversion unit,REF,CXT matrix RM template name,CXT matrix RM template ID,Lambda,Actual cycled vol/partition [nL],Actual cycled vol/well [µL],Mean RFU positives,Mean RFU negatives,Rain [%],Resolution,Positives bandwidth,Negatives bandwidth
,,,B7,19,53,SAMPLE,16S-515F+806R,16S,-,-,2790.6948433372145,-,0.02961263988595115,1.6744169060023287E7,-,8243,4638,3605,145.71,2.522,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.827042584594178,0.2963572267920094,2.4428726204465336,171.05387882708067,51.38729542302364,"2,45",3.2925466130694705,54.16,20.85
,,,C7,35,88,SAMPLE,16S-515F+806R,16S,-,-,638.237247044796,-,0.05236638443687578,3829423.4822687763,-,8260,1405,6855,145.71,2.486,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.18644627451860904,0.29212690951821385,2.4129682726204464,166.02674733096083,45.96210649161202,"0,63",2.712380190861524,63.7,25.95
,,,D7,10,27,SAMPLE,16S-515F+806R,16S,-,-,711.7056101816944,-,0.05011553902752162,4270233.661090166,-,8267,1535,6732,145.71,2.456,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.20539940994197903,0.28860164512338427,2.385869800235018,167.5511009771988,47.484893048128356,"0,98",3.355613476015275,52.5,19.11
,,,E7,22,61,SAMPLE,16S-515F+806R,16S,-,-,1087.817920042477,-,0.042040852707784376,6526907.520254862,-,8255,2191,6064,145.71,2.413,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.30844942903202077,0.28354876615746183,2.340695064629847,169.38365130077622,47.595455145118855,"0,81",2.7959541911221963,61.63,26.36
,,,F7,2,4,SAMPLE,16S-515F+806R,16S,-,-,2180.2087365356665,-,0.03208984396969242,1.3081252419213999E7,-,8262,3856,4406,145.71,2.454,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.6286994405944214,0.2883666274970623,2.382485076380729,164.16209543568482,51.044775306400304,"2,02",3.0248119813022867,59.21,18.66
,,,G7,23,64,SAMPLE,16S-515F+806R,16S,-,-,1090.9171843660185,-,0.04134671481885529,6545503.106196112,-,8201,2267,5934,145.71,2.524,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.32355757618564407,0.2965922444183314,2.4323529964747355,168.07299073665652,47.820274688237326,"1,24",2.62143936986757,68.85,24.07
,,,H7,-,BLANK,CONTROL,16S-515F+806R,16S,-,NEG,6.335096371987456,-,0.4899912201551799,-,-,8265,16,8249,145.71,2.603,-,-,12.0,-,-,Std-Ref,-,-,0.001937750394392873,0.3058754406580494,2.528060517038778,160.92624999999998,42.84274336283172,"0,00",4.62218723722564,30.6,20.77
,,,A8,8,22,SAMPLE,16S-515F+806R,16S,-,-,649.76540976575,-,0.05152194758170684,3898592.4585945,-,8067,1452,6615,145.71,2.599,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.19844186838791825,0.30540540540540545,2.4637054054054057,176.92387741046818,48.126476190476396,"0,86",3.1295150492277446,54.82,28.63
,,,B8,20,56,SAMPLE,16S-515F+806R,16S,-,-,2213.828352462277,-,0.0316933564237347,1.3282970114773663E7,-,8253,3964,4289,145.71,2.516,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.6545231650758038,0.2956521739130435,2.440017391304348,171.5905398587286,50.189039403124184,"2,22",3.0313845298440985,60.53,21.69
,,,C8,32,91,SAMPLE,16S-515F+806R,16S,-,-,1214.4517620567517,-,0.039952402964985825,7286710.57234051,-,8184,2432,5752,145.71,2.471,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.35263340823057976,0.29036427732079906,2.3763412455934194,169.55007812499994,46.76871696801102,"1,38",3.014609636457227,57.73,25.14
